序号1,类型,件号,序号,名称,数量,冻结数量,单位,飞行小时,发动机小时,起落架次,适用机型,仓库,最低库存,架位,库存有效期,证书编号,适航标签号,上次检查日期,下次检查日期,生产厂商,供应商
181,消耗品,117809,,衬垫（主传动轴）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
182,消耗品,62-10-158,,衬垫（调速器传动盒）,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
183,消耗品,62-611-36,,衬垫（滑 离）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
184,消耗品,62-611-35,,衬垫（滑 离）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
185,消耗品,62-11-63,,垫片（滑 离）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
186,消耗品,100283,,衬垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
187,消耗品,100115,,垫片（汽化器与增压机匣）,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
188,消耗品,104186,,垫片（后 罩）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
189,消耗品,62-21-51,,导衬（高压导线）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
190,消耗品,62-36-53/K1,,垫圈,54,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
191,消耗品,119-RD-4,,保险垫片,12,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
192,消耗品,100-RD-50,,弹簧垫片,12,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
193,消耗品,KO-162,,螺钉,9,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
194,消耗品,13501,,连接件KY-07,18,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
195,消耗品,62-21-40,,连接装置组合件,9,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
196,消耗品,67-RD-2,,螺母,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
197,消耗品,62-11-38,,密封环,8,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
198,消耗品,71-RD-2,,开口销,5,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
199,消耗品,51003,,螺母,18,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
200,消耗品,105145,,垫片,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
201,消耗品,K6-36-09,,垫片,18,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
202,消耗品,K6-11-04,,锁片,1,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
203,消耗品,119-RD-2,,保险螺母,16,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
204,消耗品,100505,,汽化器与增压机匣转接座垫子,6,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
205,消耗品,62-21-58,,前排电嘴电缆,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
206,消耗品,150-RD-1/K1,,金属放松垫片（挡风板）,54,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
207,消耗品,100088,,压盖密封垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
208,消耗品,00-711-05,,放松垫片,14,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
209,消耗品,108365,,放松垫片,16,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
210,消耗品,26-11-48,,弹簧垫片,1,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
211,消耗品,00-07-55,,垫片,2,0,个,00:00,00:00,0,运5B（D）,库1,,D1,,,,,,中航工业华北公司,中航工业华北公司
212,消耗品,65-RD-5,,紧固夹螺钉,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
213,消耗品,62-17-03,,垫片（复合活门）,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
214,消耗品,98-RD-4,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
215,消耗品,26-611-38,,衬垫,1,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
216,消耗品,00-12-601,,放松垫片,8,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
217,消耗品,100504,,垫片（汽化器与增压机匣转接座）,6,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
218,消耗品,62-611-37 ,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
219,消耗品,K6-02-46,,垫片,10,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
220,消耗品,K6-09-11,,衬垫,10,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
221,消耗品,62-17-02 ,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
222,消耗品,11-08-39 ,,螺母,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
223,消耗品,62-15-58,,弹簧,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
224,消耗品,29942,,衬垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
225,消耗品,62-10-57,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
226,消耗品,126-RD-1,,放松垫片,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
227,消耗品,10.107,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
228,消耗品,62-10-64,,衬垫,1,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
229,消耗品,119-RD-3,,放松螺母,34,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
230,消耗品,62-10-149,,放松垫片,6,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
231,消耗品,119-RD-5,,放松螺母,217,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
232,消耗品,62-15-32,,衬垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
233,消耗品,K1074,,保险丝,4,0,m,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
234,消耗品,62-21-21,,套管,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
235,消耗品,117974,,密封圈,9,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
236,消耗品,66-RD-1,,螺母,5,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
237,消耗品,62-10-58,,衬垫,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
238,消耗品,66-RD-2,,螺母,1,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
239,消耗品,30.202,,橡皮连接件,12,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
240,消耗品,72-RD-5/A,,开口销,12,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
241,消耗品,70-RD-1,,开口销,12,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
242,消耗品,70-RD-1/A ,,开口销,12,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
243,消耗品,K0459,,垫片,8,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
244,消耗品,62-15-37,,垫片,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
245,消耗品,K6-02-25,,罩,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
246,消耗品,100289,,闭塞油滤密封垫,28,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
247,消耗品,10.124,,衬垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
248,消耗品,300076,,收油池软管夹子,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
249,消耗品,00.05.58,,保险件,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
250,消耗品,62-15-03,,垫圈,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
251,消耗品,100982,,垫圈,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
252,消耗品,62-15-200,,密封圈,1,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
253,消耗品,K6-09-10,,顶杆套衬垫,15,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
254,消耗品,62-19-15,,剪切销（圆柱销）,8,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
255,消耗品,100267,,衬垫,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
256,消耗品,62-15-34,,衬垫,10,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
257,消耗品,28-05-2001,,汽化器备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
258,消耗品,62-00-64,,垫片,52,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
259,消耗品,25-40/9-c6-w2,,卡子,18,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
260,消耗品,50-70/12-c7-w3,,卡子,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
261,消耗品,62-602-016,,垫片（滑 离 转子）,60,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
262,消耗品,K6-02-41,,垫圈（滑 离）,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
263,消耗品,K6-02-44,,锁环（滑 离 转子）,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
264,消耗品,BSM-9,,磁电机备件,3,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
265,消耗品,MSZ-8A,,滑油泵备件,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
266,消耗品,BNK-12BK,,汽油泵,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
267,消耗品,100129,,进气管密封螺母,4,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
268,消耗品,107788,,气门内弹簧,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
269,消耗品,1962/4/27,,气门中弹簧,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
270,消耗品,107790,,气门外弹簧,2,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
271,消耗品,1962/5/3,,涨圈,6,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
272,消耗品,1962/5/3(XL),,加大涨圈,1,0,个,00:00,00:00,0,运5B（D）,库1,,D2,,,,,,中航工业华北公司,中航工业华北公司
273,消耗品,Y5-0208-58,,管子,12,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
274,消耗品,Y5-0209,,管子,4,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
275,消耗品,Y5(b)-6111-0-7,,垫带,8,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
276,消耗品,Y5(b)-6112-0-7,,垫带,8,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
277,消耗品,Y5(b)-6113-0-7,,垫带,8,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
278,消耗品,Y5-6907-25-16w,,型材,4,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
279,消耗品,Y5-6907-25-17w,,型材,2,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
280,消耗品,Y5-6400-51,,减震器,32,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
281,消耗品,Y5-6400-05,,减震器,26,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
282,消耗品,Y5-7104-210,,接地线,4,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
283,消耗品,Y5-2002-64,,前缘缝翼减震器,4,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,中航工业华北公司
284,消耗品,H5.02.016,,垫片（内方孔）,5,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
285,消耗品,H5.02.015,,垫片（内方孔）,5,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
286,消耗品,zkc-5,,开关,10,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
287,消耗品,zkc-10,,开关,10,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
288,消耗品,zkc-15,,开关,10,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
289,消耗品,cdk1,,磁电机开关,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
290,消耗品,azk-1,,开关,20,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
291,消耗品,ZL24v200w,,着陆灯泡,15,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
292,一般航材,QS-2A,011091,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
293,一般航材,QS-2A,041037,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
294,一般航材,QS-2A,041024,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
295,一般航材,QS-2A,6501049,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
296,一般航材,QS-2A,6402376,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
297,一般航材,QS-2A,9953036,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
298,一般航材,QS-2A,9953041,刹车分布器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
299,一般航材,QS-2B,9953041,刹车分配器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
300,一般航材,QS-2B,9953036,刹车分配器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
301,一般航材,QS-1,1083032,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
302,一般航材,QS-1,0173033,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
303,一般航材,QS-1,941077,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
304,一般航材,QS-1,041077,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
305,一般航材,QS-1,043400,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
306,一般航材,QS-1,052153,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
307,一般航材,QS-1,021033,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
308,一般航材,QS-1,0882019,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
309,一般航材,QS-1,8001144,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
310,一般航材,QS-1,092113,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
311,一般航材,QS-1,0882006,减压活门,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
312,一般航材,ZF-3000M,1824342,直流发电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
313,一般航材,ZF-3000M,0106007,直流发电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
314,一般航材,ZF-3000M,060040,直流发电机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
315,一般航材,2H-12,2003,航向指示器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
316,一般航材,FL-8C,1018,罗盘放大器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
317,一般航材,SLB,59727,数码高度表,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
318,一般航材,MZJ-200A,1035,直接接触器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
319,一般航材,LT-1,810039,陀螺半罗盘,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
320,一般航材,T-1,980323,空气自动调节器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
321,一般航材,GWR-1,17813,电阻式温度传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,,,中航工业华北公司,威亚通用航空公司
322,时控件,ASZ-62IR-6,R6001,发动机,1,0,个,00:00,00:00,0,运5B（D）,库2,,A,,,,2018-01-05,2019-01-05,中航工业华北公司,威亚通用航空公司
323,时控件,ASZ-62IR-6,R6002,发动机,1,0,个,00:00,00:00,0,运5B（D）,库2,,A,,,,2018-01-05,2019-01-05,中航工业华北公司,威亚通用航空公司
324,时控件,ZUR-6A,730109,油量表指示器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
325,时控件,GUR-6A,720438,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
326,时控件,GUR-6A,0160,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
327,时控件,GUR-6A,200147,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
328,时控件,GUR-6A,830106,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
329,时控件,GUR-6A,700310,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
330,时控件,GUR-6A,100291,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
331,时控件,GUR-6A,700049,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
332,时控件,GUR-6A,200104,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
333,时控件,GUR-6A,820005,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
334,时控件,GUR-6A,01861,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
335,时控件,GUR-6A,954022,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
336,时控件,GUR-6A,01788,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
337,时控件,GUR-6A,97039,油量表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
338,时控件,Y5-6800-1,01002,排气管,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
339,时控件,Y5-6800-1,01001,排气管,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
340,时控件,MZJ-400A,44753,直接接触器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
341,时控件,MZJ-400A,3034,直接接触器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
342,时控件,ZZ30-1C,19558,转速表指示器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
343,时控件,ZZ30-1C,8800,转速表指示器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
344,时控件,GZ-13,14236,转速表传感器,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
345,时控件,BG12-1A,06072,气压高度表,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
346,时控件,BK-350,29107,空速表,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
347,时控件,BC-10,24533,升降表,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
348,时控件,BC-10,02046,升降表,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
349,时控件,DG-6-副翼,7301140,副翼调整片电动机构,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
350,时控件,DG-6-升降舵,7303190,升降舵调整片电动机构,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
351,时控件,DG-8,8105006,缝翼电动机构,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
352,时控件,DG-8,7603039,缝翼电动机构,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
353,时控件,DG-8,9010056,缝翼电动机构,1,0,个,00:00,00:00,0,运5B（D）,库1,,D3,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
354,时控件,SBL-125,090044,三相变流机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
355,时控件,SBL-125,0901051,三相变流机,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
356,时控件,FKH-5M,09001-D,发电机控制盒,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
357,时控件,FKH-5M,2001007-D,发电机控制盒,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
358,时控件,FKH-5M,93001-D,发电机控制盒,1,0,个,00:00,00:00,0,运5B（D）,库1,,D5,,,,2018-01-05,2020-01-05,中航工业华北公司,威亚通用航空公司
